id,member,skin,generation,type,performance,technique,sense,passive_requirement,passive_kind,passive_percent,passive_self_only,passive_text,outfit_requirement,outfit_performance,outfit_technique,outfit_sense,outfit_all_stats,outfit_support,outfit_text,active_requirement,active_magnitude,active_duration,active_interval,active_chance,special_magnitude,special_duration,special_sar,special_sar_percent,special_text
11,Yuzuki Choco,Fatal Temptation,Gen 2,Happy,7366.0,7991.0,10672.0,Happy,support,11.0,FALSE,2 Happy: Support +11%,Happy,0.0,0.0,0.0,30.0,25.0,2 Happy for Support +25% and All Stats +30% to all,None,120.0,7,20,M,160.0,10.0,FALSE,0,None / 1.6 / 10
12,Oozora Subaru,Duckling Noon Jam,Gen 2,Cute,10909.0,7221.0,7844.0,Gen 2,perf,45.0,FALSE,2 Gen 2: Performance +45% to 2 Gen 2,Gen 2,0.0,0.0,0.0,50.0,0.0,2 Gen 2 for All Stats +50% to all,None,114.99999999999999,12,34,H,120.0,12.0,TRUE,40,Grants +40% SAR / 1.2 / 12
13,Ookami Mio,Calming Nightscape,GAMERS,Cute,7844.0,7221.0,10909.0,GAMERS,support,12.0,FALSE,2 GAMERS: Support +12% to 2 GAMERS,GAMERS,0.0,0.0,0.0,50.0,0.0,2 GAMERS for All Stats +50% to all,None,120.0,9,27,H,114.99999999999999,14.0,FALSE,0,None / 1.15 / 14
14,Nekomata Okayu,Secret Post-Feast,GAMERS,Cute,7682.0,11380.0,6803.0,Cute,tech,41.0,FALSE,2 Cute: Technique +41%,,0.0,120.0,0.0,0.0,0.0,Technique +120%,600 LIFE for Score +110%,110.0,10,25,M,160.0,10.0,FALSE,0,None / 1.6 / 10
15,Inugami Korone,Vibrant Skater,GAMERS,Happy,7828.0,6947.0,11145.0,Happy,support,11.0,FALSE,2 Happy: Support +11%,Happy,0.0,0.0,130.0,0.0,0.0,2 Happy for Sense +130% to all,None,120.0,6,17,M,145.0,10.0,TRUE,55,100 Combo for +55% SAR / 1.45 / 10
16,Usada Pekora,Playful Rabbit Field,Gen 3,Cute,7366.0,10672.0,7991.0,Cute,all,32.0,TRUE,2 Cute: All Stats +32% to Self,Cute,0.0,0.0,0.0,30.0,25.0,2 Cute for Support +25% and All Stats +30% to all,None,105.0,12,30,M,114.99999999999999,14.0,FALSE,0,None / 1.15 / 14
17,Shiranui Flare,Elven Gale Gondola,Gen 3,Pure,11380.0,6803.0,7682.0,Gen 3,perf,43.0,FALSE,2 Gen 3: Performance +43%,,120.0,0.0,0.0,0.0,0.0,Perfomance +120%,40 Combo for Score +120%,120.0,9,26,H,145.0,10.0,TRUE,50,Grants +50% SAR / 1.45 / 10
18,Shirogane Noel,Gentle Breeze Knight,Gen 3,Happy,7668.0,7981.0,10433.0,Happy,all,32.0,TRUE,2 Happy: All Stats +32% to Self,,0.0,0.0,0.0,0.0,60.0,Support +60% to all,2 Happy for Score +120%,120.0,7,19,M,160.0,10.0,FALSE,0,None / 1.6 / 10
19,Houshou Marine,Siren Marine Blue,Gen 3,Happy,7221.0,10909.0,7844.0,Gen 3,support,12.0,FALSE,2 Gen 3: Support +12% to 2 Gen 3,Gen 3,0.0,0.0,0.0,50.0,0.0,2 Gen 3 for All Stats +50% to all,None,114.99999999999999,8,23,H,120.0,12.0,TRUE,40,Grants +40% SAR / 1.2 / 12
20,Tsunomaki Watame,Woolly Smile Festival,Gen 4,Cute,10672.0,7991.0,7366.0,Cute,support,11.0,FALSE,2 Cute: Support +11%,,0.0,0.0,0.0,45.0,0.0,All Stats +45% to all,2 Cute for Score +110%,110.0,6,15,M,145.0,11.0,FALSE,0,None / 1.45 / 11
21,Tokoyami Towa,Eternal Night Out,Gen 4,Pure,7844.0,7221.0,10909.0,Gen 4,sense,45.0,FALSE,2 Gen 4: Sense +45% to 2 Gen 4,Gen 4,0.0,0.0,0.0,50.0,0.0,2 Gen 4 for All Stats +50% to all,None,95.0,8,19,H,145.0,10.0,TRUE,50,Grants +50% SAR / 1.45 / 10
22,Himemori Luna,Royal Loyal Noon,Gen 4,Happy,7682.0,11380.0,6803.0,Gen 4,perf,43.0,FALSE,2 Gen 4: Performance +43%,,0.0,120.0,0.0,0.0,0.0,Technique +120%,40 Combo for Score +120%,120.0,10,29,H,114.99999999999999,14.0,FALSE,0,None / 1.15 / 14
23,Yukihana Lamy,Lonely Snow Heiress,Gen 5,Pure,7221.0,7844.0,10909.0,Gen 5,all,33.0,TRUE,2 Gen 5: All Stats +33% to Self,Gen 5,0.0,0.0,0.0,50.0,0.0,2 Gen 5 for All Stats +50% to all,None,114.99999999999999,8,23,H,120.0,12.0,TRUE,40,Grants +40% SAR / 1.2 / 12
24,Momosuzu Nene,Pureheart Song,Gen 5,Cute,11380.0,6803.0,7682.0,Cute,support,11.0,FALSE,2 Cute: Support +11%,,120.0,0.0,0.0,0.0,0.0,Perfomance +120%,600 LIFE for Score +120%,120.0,9,26,H,145.0,11.0,FALSE,0,None / 1.45 / 11
25,Shishiro Botan,Lion's Deadeye,Gen 5,Happy,10672.0,7991.0,7366.0,Happy,perf,41.0,FALSE,2 Happy: Performance +41%,,0.0,0.0,0.0,45.0,0.0,All Stats +45% to all,2 Happy for Score +125%,125.0,9,27,H,160.0,10.0,FALSE,0,None / 1.6 / 10
26,Omaru Polka,Polka's Phantasm,Gen 5,Happy,7366.0,7991.0,10672.0,Happy,support,11.0,FALSE,2 Happy: Support +11%,,0.0,0.0,0.0,45.0,0.0,All Stats +45% to all,2 Happy for Score +115%,115.0,8,21,M,145.0,10.0,TRUE,50,Grants +50% SAR / 1.45 / 10
27,La+ Darknesss,Commanding Genius,HoloX,Happy,7221.0,10909.0,7844.0,HoloX,all,33.0,TRUE,2 HoloX: All Stats +33% to Self,HoloX,0.0,0.0,0.0,50.0,0.0,2 HoloX for All Stats +50% to all,None,125.0,6,18,M,135.0,12.0,FALSE,0,None / 1.35 / 12
28,Takane Lui,Iron Executive,HoloX,Cute,7991.0,10672.0,7366.0,Cute,all,32.0,TRUE,2 Cute: All Stats +32% to Self,,0.0,0.0,0.0,45.0,0.0,All Stats +45% to all,2 Cute for Score +115%,115.0,8,21,M,114.99999999999999,14.0,FALSE,0,None / 1.15 / 14
29,Hakui Koyori,Assistant's Muse,HoloX,Pure,7991.0,7366.0,10672.0,Pure,sense,41.0,FALSE,2 Pure: Sense +41%,Pure,0.0,0.0,0.0,30.0,25.0,2 Pure for Support +25% and All Stats +30% to all,None,114.99999999999999,8,23,H,145.0,10.0,TRUE,55,1K LIFE for +55% SAR / 1.45 / 10
30,Kazama Iroha,Blade Flash,HoloX,Cute,6947.0,11145.0,7828.0,Cute,support,11.0,FALSE,2 Cute: Support +11%,Cute,0.0,130.0,0.0,0.0,0.0,2 Cute for Technique +130% to all,None,110.00000000000001,11,30,H,145.0,10.0,TRUE,55,1K LIFE for +55% SAR / 1.45 / 10
31,Ayunda Risu,Sylvan Mischief,ID Gen 1,Happy,6947.0,11145.0,7828.0,Happy,support,11.0,FALSE,2 Happy: Support +11%,Happy,0.0,130.0,0.0,0.0,0.0,2 Happy for Technique +130% to all,None,90.0,15,34,H,120.0,12.0,TRUE,45,1K LIFE for +45% SAR / 1.2 / 12
32,Moona Hoshinova,Lunar Songstress,ID Gen 1,Cute,7221.0,7844.0,10909.0,ID Gen 1,sense,45.0,FALSE,2 ID Gen 1: Sense +45% to 2 ID Gen 1,ID Gen 1,0.0,0.0,0.0,50.0,0.0,2 ID Gen 1 for All Stats +50% to all,None,110.00000000000001,11,30,H,120.0,12.0,TRUE,40,Grants +40% SAR / 1.2 / 12
33,Airani Iofifteen,Sunlit Cosmos Palette,ID Gen 1,Pure,7828.0,11145.0,6947.0,Pure,tech,41.0,FALSE,2 Pure: Technique +41%,Pure,0.0,130.0,0.0,0.0,0.0,2 Pure for Technique +130% to all,None,120.0,6,17,M,145.0,10.0,TRUE,55,100 Combo for +55% SAR / 1.45 / 10
34,Kureiji Ollie,Eternal Z-Talker,ID Gen 2,Pure,7991.0,10672.0,7366.0,Pure,support,11.0,FALSE,2 Pure: Support +11%,,0.0,0.0,0.0,45.0,0.0,All Stats +45% to all,2 Pure for Score +110%,110.0,10,25,M,135.0,12.0,FALSE,0,None / 1.35 / 12
35,Anya Melfissa,Couch Potato Gamer,ID Gen 2,Cute,7221.0,7844.0,10909.0,ID Gen 2,all,33.0,TRUE,2 ID Gen 2: All Stats +33% to Self,ID Gen 2,0.0,0.0,0.0,50.0,0.0,2 ID Gen 2 for All Stats +50% to all,None,100.0,10,24,M,114.99999999999999,14.0,FALSE,0,None / 1.15 / 14
36,Pavolia Reine,Royal Peafowl Brew,ID Gen 2,Happy,7668.0,10433.0,7981.0,Happy,tech,41.0,FALSE,2 Happy: Technique +41%,,0.0,0.0,0.0,0.0,60.0,Support +60% to all,2 Happy for Score +120%,120.0,10,29,H,160.0,10.0,FALSE,0,None / 1.6 / 10
37,Vestia Zeta,Sunny Cat Syndicate,ID Gen 3,Happy,10909.0,7844.0,7221.0,ID Gen 3,all,33.0,TRUE,2 ID Gen 3: All Stats +33% to Self,ID Gen 3,0.0,0.0,0.0,50.0,0.0,2 ID Gen 3 for All Stats +50% to all,None,90.0,11,25,H,114.99999999999999,14.0,FALSE,0,None / 1.15 / 14
38,Kaela Kovalskia,Tempered Soul Forge,ID Gen 3,Cute,7981.0,10433.0,7668.0,Cute,tech,41.0,FALSE,2 Cute: Technique +41%,,0.0,0.0,0.0,0.0,60.0,Support +60% to all,2 Cute for Score +120%,120.0,7,19,M,135.0,12.0,FALSE,0,None / 1.35 / 12
39,Kobo Kanaeru,Rain-Dance Oracle,ID Gen 3,Pure,10672.0,7366.0,7991.0,Pure,all,32.0,TRUE,2 Pure: All Stats +32% to Self,,0.0,0.0,0.0,45.0,0.0,All Stats +45% to all,2 Pure for Score +110%,110.0,6,15,M,135.0,12.0,FALSE,0,None / 1.35 / 12
40,Mori Calliope,Reaper's Death Flow,Myth,Pure,10909.0,7221.0,7844.0,Myth,support,12.0,FALSE,2 Myth: Support +12% to 2 Myth,Myth,0.0,0.0,0.0,50.0,0.0,2 Myth for All Stats +50% to all,None,120.0,11,33,H,120.0,12.0,TRUE,40,Grants +40% SAR / 1.2 / 12
41,Takanashi Kiara,Lovely Phoenix Diner,Myth,Cute,11145.0,6947.0,7828.0,Cute,support,11.0,FALSE,2 Cute: Support +11%,Cute,130.0,0.0,0.0,0.0,0.0,2 Cute for Perfomance +130% to all,None,114.99999999999999,8,23,H,145.0,10.0,TRUE,55,100 Combo for +55% SAR / 1.45 / 10
42,Ninomae Ina'nis,Warm Up and Recharge,Myth,Pure,7668.0,10433.0,7981.0,Pure,all,32.0,TRUE,2 Pure: All Stats +32% to Self,,0.0,0.0,0.0,0.0,60.0,Support +60% to all,2 Pure for Score +95%,95.0,14,32,H,114.99999999999999,14.0,FALSE,0,None / 1.15 / 14
43,IRyS,Nephilim Sonority,Promise,Happy,7221.0,10909.0,7844.0,Promise,tech,43.0,FALSE,2 Promise: Technique +43%,Promise,0.0,0.0,0.0,50.0,0.0,2 Promise for All Stats +50% to all,None,95.0,11,25,M,145.0,10.0,TRUE,55,1K LIFE for +55% SAR / 1.45 / 10
44,Ouro Kronii,Clock Tower Warden,Promise,Cute,7668.0,7981.0,10433.0,Cute,sense,41.0,FALSE,2 Cute: Sense +41%,,0.0,0.0,0.0,0.0,60.0,Support +60% to all,2 Cute for Score +115%,115.0,12,33,H,114.99999999999999,14.0,FALSE,0,None / 1.15 / 14
45,Hakos Baelz,Chaotic Powerful Rat,Promise,Pure,11145.0,7828.0,6947.0,Pure,support,11.0,FALSE,2 Pure: Support +11%,Pure,130.0,0.0,0.0,0.0,0.0,2 Pure for Perfomance +130% to all,None,90.0,11,25,H,135.0,12.0,FALSE,0,None / 1.35 / 12
46,Shiori Novella,Library Inquisitor,Advent,Happy,11380.0,6803.0,7682.0,Advent,perf,43.0,FALSE,2 Advent: Performance +43%,,120.0,0.0,0.0,0.0,0.0,Perfomance +120%,40 Combo for Score +120%,120.0,11,32,H,145.0,10.0,TRUE,50,Grants +50% SAR / 1.45 / 10
47,Koseki Bijou,Prism Crystal Realm,Advent,Pure,6803.0,7682.0,11380.0,Pure,support,11.0,FALSE,2 Pure: Support +11%,,0.0,0.0,120.0,0.0,0.0,Sense +120%,40 Combo for Score +130%,130.0,9,27,M,145.0,10.0,TRUE,50,Grants +50% SAR / 1.45 / 10
48,Nerissa Ravencroft,Echoes of Nocturne,Advent,Pure,7844.0,10909.0,7221.0,Advent,all,33.0,TRUE,2 Advent: All Stats +33% to Self,Advent,0.0,0.0,0.0,50.0,0.0,2 Advent for All Stats +50% to all,None,90.0,7,15,M,135.0,12.0,FALSE,0,None / 1.35 / 12
49,Fuwawa Abyssgard,Fluffy Donut Feast,Advent,Cute,7682.0,11380.0,6803.0,Cute,tech,41.0,FALSE,2 Cute: Technique +41%,,0.0,120.0,0.0,0.0,0.0,Technique +120%,40 Combo for Score +110%,110.0,8,20,M,145.0,10.0,TRUE,50,Grants +50% SAR / 1.45 / 10
50,Mococo Abyssgard,Leisurely Donut Feast,Advent,Cute,7828.0,6947.0,11145.0,Cute,support,11.0,FALSE,2 Cute: Support +11%,Cute,0.0,0.0,130.0,0.0,0.0,2 Cute for Sense +130% to all,None,125.0,8,25,H,130.0,11.0,TRUE,50,100 Combo for +50% SAR / 1.3 / 11
51,Otonose Kanade,Parade of Smiles,ReGLOSS,Pure,7828.0,6947.0,11145.0,ReGLOSS,sense,43.0,FALSE,2 ReGLOSS: Sense +43%,Pure,0.0,0.0,130.0,0.0,0.0,2 Pure for Sense +130% to all,None,90.0,12,27,H,145.0,10.0,TRUE,55,100 Combo for +55% SAR / 1.45 / 10
52,Ichijou Ririka,The CEO's Struggling Meal,ReGLOSS,Happy,10909.0,7844.0,7221.0,ReGLOSS,perf,45.0,FALSE,2 ReGLOSS: Performance +45% to 2 ReGLOSS,ReGLOSS,0.0,0.0,0.0,50.0,0.0,2 ReGLOSS for All Stats +50% to all,None,110.00000000000001,11,30,H,135.0,12.0,FALSE,0,None / 1.35 / 12
53,Juufuutei Raden,Luminary of Arts,ReGLOSS,Happy,7682.0,6803.0,11380.0,ReGLOSS,sense,43.0,FALSE,2 ReGLOSS: Sense +43%,,0.0,0.0,120.0,0.0,0.0,Sense +120%,600 LIFE for Score +115%,115.0,8,22,H,145.0,10.0,TRUE,50,Grants +50% SAR / 1.45 / 10
54,Todoroki Hajime,Bancho's Soft Grace,ReGLOSS,Cute,11380.0,6803.0,7682.0,Cute,perf,41.0,FALSE,2 Cute: Performance +41%,,120.0,0.0,0.0,0.0,0.0,Perfomance +120%,40 Combo for Score +120%,120.0,9,26,H,145.0,10.0,TRUE,50,Grants +50% SAR / 1.45 / 10
55,Summer Oozora Subaru,Vibrant Sun Splash!,Gen 2,Pure,7981.0,7668.0,10433.0,Pure,all,15.0,FALSE,2 Pure: All Stats +15%,,0.0,0.0,0.0,0.0,60.0,Support +60% to all,40 Combo for Score +105%,105.0,7,17,M,160.0,10.0,FALSE,0,None / 1.6 / 10
56,Summer Shiranui Flare,Sparks at Sunset,Gen 3,Happy,7828.0,11145.0,6947.0,Happy,support,11.0,FALSE,2 Happy: Support +11%,Happy,0.0,80.0,0.0,0.0,25.0,2 Happy for Support +25% and Technique +80% to all,2 Happy for Score +125%,125.0,11,33,H,120.0,12.0,TRUE,40,Grants +40% SAR / 1.2 / 12
57,Summer Shirogane Noel,Serene Wave Knight,Gen 3,Cute,11145.0,6947.0,7828.0,Gen 3,support,12.0,FALSE,2 Gen 3: Support +12% to 2 Gen 3,Gen 3,135.0,0.0,0.0,0.0,0.0,2 Gen 3 for Perfomance +135% to all,None,120.0,7,21,H,120.0,12.0,TRUE,45,2 Gen 3 for +45% SAR / 1.2 / 12
58,Summer Tsunomaki Watame,Floatie Float Time,Gen 4,Happy,6947.0,7828.0,11145.0,Happy,support,11.0,FALSE,2 Happy: Support +11%,Happy,0.0,0.0,80.0,0.0,25.0,2 Happy for Support +25% and Sense +80% to all,2 Happy for Score +120%,120.0,12,35,H,130.0,11.0,TRUE,45,Grants +45% SAR / 1.3 / 11
59,Summer Otonose Kanade,Breezy Smile Chords,ReGLOSS,Happy,11380.0,7682.0,6803.0,Happy,perf,43.0,FALSE,2 Happy: Performance +43%,Happy,130.0,0.0,0.0,0.0,0.0,2 Happy for Perfomance +130% to all,None,120.0,8,23,M,114.99999999999999,14.0,FALSE,0,None / 1.15 / 14
